NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
HR035;04928;VIS;VIS;no;1934;52785236;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR044;04936;VISOKO;VISOKO;no;1518;24828956;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR04B;04944;VIŠKOVCI;VIŠKOVCI;no;1906;44017661;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;04952;VIŠKOVO;VIŠKOVO;no;14445;18676206;2;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR002L;no;Rijeka
HR036;04979;VIŠNJAN - VISIGNANO;VIŠNJAN - VISIGNANO;no;2274;63513137;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR036;04987;VIŽINADA - VISINADA;VIŽINADA - VISINADA;no;1158;35683138;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04B;05797;VLADISLAVCI;VLADISLAVCI;no;1882;32005948;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR004L;no;Osijek
HR048;04995;VOĆIN;VOĆIN;no;2382;296560945;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR034;05002;VODICE;VODICE;no;8875;92652980;2;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR036;05029;VODNJAN - DIGNANO;VODNJAN - DIGNANO;no;6119;101005813;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR006L;no;Pula
HR04C;05843;VOĐINCI;VOĐINCI;no;1966;20756438;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04D;05037;VOJNIĆ;VOJNIĆ;no;4764;238943050;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR046;05045;VRATIŠINEC;VRATIŠINEC;no;1984;16314386;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04C;05053;VRBANJA;VRBANJA;no;3940;191283186;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04A;05061;VRBJE;VRBJE;no;2215;79249975;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;05070;VRBNIK;VRBNIK;no;1260;52596910;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR042;05088;VRBOVEC;VRBOVEC;no;14797;160803412;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR031;05096;VRBOVSKO;VRBOVSKO;no;5076;279869187;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR035;05118;VRGORAC;VRGORAC;no;6572;278644662;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR032;05126;VRHOVINE;VRHOVINE;no;1381;225275664;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR035;05134;VRLIKA;VRLIKA;no;2177;243502161;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04A;05142;VRPOLJE;VRPOLJE;no;3521;60885176;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR003L;no;Slavonski Brod
HR036;05169;VRSAR - ORSERA;VRSAR - ORSERA;no;2162;36459351;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR033;06254;VRSI;VRSI;no;2053;37002154;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR007L;no;Zadar
HR04B;05177;VUKA;VUKA;no;1200;24760147;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR004L;no;Osijek
HR04C;05185;VUKOVAR;VUKOVAR;no;27683;100099509;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR043;05193;ZABOK;ZABOK;no;8994;34596745;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR033;05207;ZADAR;ZADAR;no;75062;192134708;1;no;yes;no;HR007C;no;Zadar;N/A;N/A;N/A;HR007L;no;Zadar
HR035;05959;ZADVARJE;ZADVARJE;no;289;13044151;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR005L;no;Split
HR043;05215;ZAGORSKA SELA;ZAGORSKA SELA;no;996;24670267;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR035;05223;ZAGVOZD;ZAGVOZD;no;1188;138799791;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR005L;no;Split
HR042;05436;ZAPREŠIĆ;ZAPREŠIĆ;no;25223;53940389;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR037;05231;ZAŽABLJE;ZAŽABLJE;no;757;60605689;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR048;05240;ZDENCI;ZDENCI;no;1904;84635435;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR033;05258;ZEMUNIK DONJI;ZEMUNIK DONJI;no;2060;54830450;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR007L;no;Zadar
HR043;05266;ZLATAR;ZLATAR;no;6096;76027054;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR043;05274;ZLATAR BISTRICA;ZLATAR BISTRICA;no;2600;24715158;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR035;05282;ZMIJAVCI;ZMIJAVCI;no;2048;13759573;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR047;05665;ZRINSKI TOPOLOVAC;ZRINSKI TOPOLOVAC;no;890;30350940;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04D;05304;ŽAKANJE;ŽAKANJE;no;1889;44683545;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR036;05312;ŽMINJ;ŽMINJ;no;3483;71577505;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR042;05401;ŽUMBERAK;ŽUMBERAK;no;883;110093989;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR037;06025;ŽUPA DUBROVAČKA;ŽUPA DUBROVAČKA;no;8331;22864781;2;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04C;05347;ŽUPANJA;ŽUPANJA;no;12090;50196180;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
